Bangor Region Chamber of Commerce ,U.S. Chamber Member,www.bangorregion.com,(207)947-0307," 2 Hammond St, Ste 1"," Bangor, ME 04401 ",
Central Aroostook Chamber of Commerce ,U.S. Chamber Member,www.pichamber.com,(207)764-6561, 3 Houlton Rd," Presque Isle, ME 04769 ",
Kennebec Valley Chamber of Commerce ,U.S. Chamber Member,www.augustamaine.com,(207)623-4559, 269 Western Ave," Augusta, ME 04332 ",
Kennebunk-Kennebunkport-Arundel Chamber of Commerc ,U.S. Chamber Member,www.gokennebunks.com/,(207)967-0857, 16 Water St," Kennebunk, ME 04043 ",
Maine State Chamber of Commerce ,U.S. Chamber Member,www.mainechamber.org,(207)623-4568," 125 Community Dr, Suite 101 "," Augusta, ME 04330 ",
Mid-Maine Chamber of Commerce ,U.S. Chamber Member,www.midmainechamber.com/,(207)873-3316, 50 Elm St," Waterville, ME 04901 ",
Penobscot Bay Regional Chamber of Commerce ,U.S. Chamber Member,mainedreamvacation.com,(207)236-4404, PO Box 919," Camden, ME 04843 ",
Sanford-Springvale Chamber of Commerce ,U.S. Chamber Member,www.sanfordchamber.org,(207)324-4280," 917 Main St, #B"," Sanford, ME 04073 ",
Skowhegan Regional Chamber of Commerce ,U.S. Chamber Member,www.skowheganchamber.com,(207)474-3621, 23 Commercial St.," Skowhegan, ME 04976 ",
Wells Chamber of Commerce ,U.S. Chamber Member,www.wellschamber.org,(207)646-2451, PO Box 356," Wells, ME 04090 ",
Bethel Area Chamber of Commerce ,,www.bethelmaine.com/,(207)824-2282, PO Box 1247," Bethel, ME 04217 ",
Boothbay Harbor Region Chamber of Commerce ,,www.boothbayharbor.com/,(207)633-2353, 192 Townsend Avenue," Boothbay Harbor, ME 04538 ",
Ellsworth Area Chamber of Commerce ,,www.ellsworthchamber.org/,(207)667-5584, 163 High Street," Ellsworth, ME 04605 ",
Greater Bridgton Lakes Region Chamber of Commerce ,,www.mainelakeschamber.com/,(207)647-3472, 101 Portland Rd," Bridgton, ME 04009 ",
Greater Houlton Chamber of Commerce ,,www.greaterhoulton.com,(207)532-4216, 109 Main St," Houlton, ME 04730 ",
Greater York Region Chamber of Commerce ,,www.gatewaytomaine.org,(207)363-4422, 1 Stonewall Ln," York, ME 03909 ",
Katahdin Area Chamber of Commerce ,,www.katahdinmaine.com,(207)723-4443, 1029 Central St," Millinocket, ME 04462 ",
Lewiston Auburn Metropolitan Chamber of Commerce ,,www.lametrochamber.com,(207)783-2249, 415 Lisborn St," Lewiston, ME 04243 ",
Machias Bay Area Chamber of Commerce ,,www.machiaschamber.org/,(207)255-4402, PO Box 606," Machias, ME 04654 ",
Portland Regional Chamber of Commerce ,,www.portlandregion.com,(207)772-2811, 443 Congress St," Portland, ME 04101 ",
Sebago Lakes Region Chamber of Commerce ,,sebagolakeschamber.com,(207)892-8265, PO Box 1015," Windham, ME 04062 ",
Southern Midcoast Maine Chamber ,,www.midcoastmaine.com,(207)725-8797, 8 Venture Ave," Brunswick, ME 04011 ",
St. Croix Valley Chamber of Commerce ,,www.visitstcroixvalley.com,(207)454-2308, 39 Union St," Calais, ME 04619 ",
Androscoggin County Chamber of Commerce ,,www.androscoggincounty.com,(207)783-2249, 179 Lisbon St.," Lewiston, ME 04240 ",
Belfast Area Chamber of Commerce ,,www.belfastmaine.org,(207)338-5900, 14 Main St," Belfast, ME 04915 ",
Biddeford Saco Chamber of Commerce & Industry ,,www.biddefordsacochamber.org,(207)282-1567, 28 Water St," Biddeford, ME 04005 ",
Blue Hill Peninsula Chamber of Commerce ,,www.bluehillpeninsula.org,(207)374-3242," 16 South St, Suite B "," Blue Hill, ME 04614 ",
Boothbay Harbor Region Chamber ofCommerce ,,www.boothbayharbor.com,(207)633-4743," 323 Townsend Ave., P.O. Box 187 "," Boothbay, ME 04537 ",
Bucksport Bay Area Chamber of Commerce ,,www.bucksportchamber.org,(207)469-6818, PO Box 1880," Bucksport, ME 04416 ",
China Area Chamber of Commerce ,,,(207)445-2890, PO Box 189," South China, ME 04358 ",
