Area Development Partnership ,U.S. Chamber Member,www.theadp.com/,(601)296-7513, 1 Convention Center Plaza," Hattiesburg, MS 39401 ",
Cleveland-Bolivar County Chamber of Commerce ,U.S. Chamber Member,www.clevelandmschamber.com/,(662)843-2712," PO Box 490, 600 Third Street "," Cleveland, MS 38732 ",
Clinton Chamber of Commerce ,U.S. Chamber Member,www.clintonms.org/chamber/,(601)924-5912, 100 East Leake St," Clinton, MS 39056 ",
Columbus Lowndes Chamber of Commerce ,U.S. Chamber Member,www.gtrlink.org,(901)299-3565, PO Box 1328," Columbus, MS 39703 ",
Covington County Chamber of Commerce ,U.S. Chamber Member,www.covingtonchamber.com,(601)765-6012, PO Box 1595," Collins, MS 39428 ",
East Mississippi Business Development Corporation ,U.S. Chamber Member,www.embdc.org,(601)693-1306, PO Box 790," Meridian, MS 39302 ",
Forest Area Chamber of Commerce ,U.S. Chamber Member,www.forestareachamber.com,(601)469-4332, PO Box 266," Forest, MS 39074 ",
Greater Starkville Development Partnership ,U.S. Chamber Member,www.starkville.org,(662)323-3322, 200 East Main St," Starkville, MS 39759 ",
Hancock County Chamber of Commerce ,U.S. Chamber Member,www.hancockchamber.org,(228)467-9048," 100 South Beach Blvd, Ste A "," Bay Saint Louis, MS 39520 ",
Hernando Main Street Chamber of Commerce ,U.S. Chamber Member,www.hernandoms.org,(662)429-9055, 421 W Commerce St," Hernando, MS 38632 ",
Horn Lake Chamber of Commerce ,U.S. Chamber Member,,(662)393-9897, 3101 Goodman Rd. W," Horn Lake, MS 38637 ",
Jackson County Chamber of Commerce ,U.S. Chamber Member,www.jcchamber.com,(228)762-3391, PO Box 480," Pascagoula, MS 39568 ",
Madison The City Chamber of Commerce ,U.S. Chamber Member,www.madisonthecitychamber.com/,(601)856-7060, PO Box 544," Madison, MS 39130 ",
Mississippi Economic Council ,U.S. Chamber Member,www.msmec.com/,(601)969-0022, PO Box 23276," Jackson, MS 39225 ",
Mississippi Economic Development Council ,U.S. Chamber Member,www.medc.ms,(601)352-1909," 1675 Lakeland Dr, Ste 502 "," Jackson, MS 39216 ",
Mississippi Gulf Coast Chamber of Commerce ,U.S. Chamber Member,www.mscoastchamber.com/,(228)604-0014, 11975 East Seaway Rd," Gulfport, MS 39503 ",4 / 5
Monroe County Chamber of Commerce ,U.S. Chamber Member,www.gomonroe.org,(662)369-6488, 1619 Highway 25 North," Amory, MS 38821 ",
Natchez-Adams County Chamber of Commerce ,U.S. Chamber Member,www.natchezchamber.com,(601)445-4611," 211 Main St, Suite A "," Natchez, MS 39120 ",
Pearl Chamber of Commerce ,U.S. Chamber Member,www.pearlms.org,(601)939-3338, 110 George Wallace Dr," Pearl, MS 39208 ",
Pike County Chamber of Commerce ,U.S. Chamber Member,www.pikeinfo.com,(601)684-2291, PO Box 83," McComb, MS 39649 ",
Rankin County Chamber of Commerce ,U.S. Chamber Member,www.rankinchamber.com,(601)825-2268, 101 Service Dr," Brandon, MS 39042 ",
Southaven Chamber of Commerce ,U.S. Chamber Member,www.southavenchamber.com,(662)342-6114, 500 Main St," Southaven, MS 38671 ",
Vicksburg-Warren County Chamber of Commerce ,U.S. Chamber Member,vicksburgchamber.org/,(601)636-1012, 2020 Mission 66," Vicksburg, MS 39180 ",
Washington County Economic Alliance ,U.S. Chamber Member,www.greenvilleareachamber.com,(662)378-3141," 342 Washington Ave, PO BOX 933 "," Greenville, MS 38701 ",
Winston County Econ Development Distr Partnership ,U.S. Chamber Member,www.winstoncountyms.com,(662)773-8719, 311 West Park St," Louisville, MS 39339 ",
Baldwyn Main Street Chamber of Commerce ,,www.baldwynliving.com/,(662)365-1050, 202 South 2nd St.," Baldwyn, MS 38824 ",
Biloxi Bay Chamber of Commerce ,,www.biloxibaychamber.org,(228)435-6149, PO Box 889," Biloxi, MS 39533 ",
Booneville & Prentiss County Main Street Assn ,,boonevillemississippi.com,(662)728-4130, 100 West Church St," Booneville, MS 38829 ",
Brookhaven-Lincoln County Chamber of Commerce ,,www.brookhavenchamber.org,(601)833-1411, PO Box 978," Brookhaven, MS 39602 ",
Byhalia Area Chamber of Commerce ,,www.byhalia-ms.com/,(662)838-8127, 2452 Church Street," Byhalia, MS 38611 ",
Economic Development Authority of Jones County ,,www.edajones.com,(601)649-3031, PO Box 527," Laurel, MS 39441 ",
Fulton Chamber of Commerce ,,www.fultonmschamber.com,(662)706-4032, 206 West Main St," Fulton, MS 38843 ",
Greater Jackson Chamber Partnership ,,www.greaterjacksonpartnership.com,(601)948-7575, 201 S President St.," Jackson, MS 39201 ",
Greater Picayune Area Chamber of Commerce ,,www.greaterpicayunechamber.org,(601)798-3122, 201 Highway 11 North," Picayune, MS 39466 ",
Greenwood-Leflore County Chamber of Commerce ,,www.greenwoodms.com,(662)453-4152, PO Box 848," Greenwood, MS 38935 ",
Grenada Area Chamber of Commerce ,,www.grenadamississippi.com/gcc_overview.htm,(662)226-2571, PO Box 628," Grenada, MS 38902 ",
Holly Springs Chamber of Commerce ,,hollyspringsms.org/,(662)252-6709, 148 East College Ave," Holly Springs, MS 38635 ",
Indianola Chamber of Commerce ,,indianolachambermainstreet.com,(662)887-4454, PO Box 151," Indianola, MS 38751 ",
Kosciusko-Attala Development Corporation ,,www.kadcorp.org,(662)289-2981, 101 North Natchez St," Kosciusko, MS 39090 ",
Lawrence County Chamber of Commerce ,,lawrencecountyms.org/chamber.html,(601)587-3007, 517 East Broad St," Monticello, MS 39654 ",
Leake County Chamber of Commerce ,,www.leakems.com/,(601)267-7167, PO Box 209," Carthage, MS 39051 ",
Madison County Chamber of Commerce ,,www.madisoncountychamber.com,(601)605-2554," 1085 Gluckstadt Rd, Suite F "," Madison, MS 39110 ",
Marion County Development Partnership ,,www.mcdp.info/,(601)736-6385, PO Box 272," Columbia, MS 39429 ",
Mississippi Development Authority ,,www.mississippi.org,(601)359-3449, PO Box 849," Jackson, MS 39205 ",
Okolona Area Chamber of Commerce ,,www.okolona.org/,(662)447-5931, PO Box 446," Okolona, MS 38860 ",
Olive Branch Chamber of Commerce ,,www.olivebranchms.com,(662)895-2600, 9123 Pigeon Roost Rd," Olive Branch, MS 38654 ",
Orange Grove/Lyman Chamber of Commerce ,,www.orangegrovelymanchamber.org,(228)832-3028, 13470 US 49," Gulfport, MS 39503 ",
Oxford-Lafayette County Chamber of Commerce ,,chamber.oxfordms.com/,(662)234-4651, PO Box 147," Oxford, MS 38655 ",
Petal Area Chamber of Commerce ,,www.petalchamber.com,(601)583-3306," 117 North Main St, Suite 100 "," Petal, MS 39465 ",
Philadelphia Community Development Partnership ,,www.neshoba.org,(601)656-1000, PO Box 330," Philadelphia, MS 39350 ",
Pontotoc Chamber of Commerce/Main Street Assoc. ,,www.pontotocchamber.com/,(662)489-5042, 109 North Main St," Pontotoc, MS 38863 ",
Raymond Chamber of Commerce ,,www.raymondchamber.org,(601)857-8942, PO Box 1162," Raymond, MS 39154 ",
The Alliance ,,www.corinthalliance.com,(662)287-5269, 502 Wick St," Corinth, MS 38834 ",
The Chamber of Flowood ,,www.flowoodchamber.com,(601)932-8007," 115 Laurel Park Cove, Suite 108 "," Flowood, MS 39232 ",
Yazoo County Chamber of Commerce ,,www.yazoochamber.com,(662)746-1273, PO Box 172," Yazoo City, MS 39194 ",
Bay Springs Chamber of Commerce ,,cityofbaysprings.com,(601)764-2981, PO Box 702," Bay Springs, MS 39422 ",
Biloxi Chamber of Commerce ,,www.biloxi.org,(228)374-2717, 11975E Seaway Rd," Biloxi, MS 39530 ",
Bruce Chamber of Commerce ,,,(662)983-2222," North Side Of Square, P.O. Box 1013 "," Bruce, MS 38915 ",
Burnsville Chamber of Commerce ,,,(662)427-9526, PO Box 211," Burnsville, MS 38833 ",
Calhoun City Chamber of Commerce ,,,(662)628-6990," 102 S Monroe St., P.O. Box 161 "," Calhoun City, MS 38916 ",
Canton Chamber of Commerce ,,www.canton-mississippi.com,(601)859-5816, 100 Depot Dr.," Canton, MS 39046 ",
