Albany Area Chamber of Commerce ,U.S. Chamber Member,www.albanychamber.com,(541)926-1517, PO Box 548," Albany, OR 97321 ",4 / 5
Bandon Chamber of Commerce ,U.S. Chamber Member,www.bandon.com,(541)347-9616," 300 Second St, PO BOX 1515 "," Bandon, OR 97411 ",
Beaverton Area Chamber of Commerce ,U.S. Chamber Member,www.beaverton.org,(503)644-0123," 12600 SW Crescent St, Suite 160 "," Beaverton, OR 97005 ",
Bend Chamber of Commerce ,U.S. Chamber Member,www.bendchamber.org,(541)382-3221," 777 NW Wall St, Ste 200"," Bend, OR 97703 ",
Boardman Chamber of Commerce ,U.S. Chamber Member,www.boardmanchamber.org,(541)481-3014, PO Box 1," Boardman, OR 97818 ",
Chamber of Medford/Jackson County ,U.S. Chamber Member,www.medfordchamber.com/,(541)779-4847, 101 East 8th St," Medford, OR 97501 ",
Grants Pass & Josephine County Chamber of Commerce ,U.S. Chamber Member,www.grantspasschamber.org,(541)476-7717, 1995 NW Vine St," Grants Pass, OR 97526 ",
Greater Hillsboro Chamber of Commerce ,U.S. Chamber Member,www.hillchamber.org,(503)648-1102," 5193 NE Elam Young Pkwy, Suite A "," Hillsboro, OR 97124 ",
Greater Newport Chamber of Commerce ,U.S. Chamber Member,www.newportchamber.org,(541)265-8801, 555 Sw Coast Hwy," Newport, OR 97365 ",
Harney County Chamber of Commerce ,U.S. Chamber Member,www.harneycounty.com,(541)573-2636, 484 North Broadway Ave," Burns, OR 97720 ",
Lake County Chamber of Commerce ,U.S. Chamber Member,www.lakecountychamber.org,(541)947-6040, 126 North E St," Lakeview, OR 97630 ",
Lake Oswego Chamber of Commerce ,U.S. Chamber Member,www.lake-oswego.com,(503)636-3634, 459 Third St," Lake Oswego, OR 97034 ",
McMinnville Area Chamber of Commerce ,U.S. Chamber Member,www.mcminnville.org/,(503)472-6196, 417 NW Adams St," McMinnville, OR 97128 ",
Oregon Business & Industry ,U.S. Chamber Member,www.oregonbusinessindustry.com,(503)588-0050, 1149 Court Street NE," Salem, OR 97301 ",
Oregon State Chamber of Commerce ,U.S. Chamber Member,,(503)371-7445, PO Box 12945," Salem, OR 97309 ",
Portland Business Alliance ,U.S. Chamber Member,www.portlandalliance.com,(503)224-8684," 200 SW Market St, Suite 150 "," Portland, OR 97201 ",
Redmond Chamber of Commerce ,U.S. Chamber Member,www.visitredmondorgeon.com,(541)923-5191, 446 SW 7th St," Redmond, OR 97756 ",
Roseburg Area Chamber of Commerce ,U.S. Chamber Member,www.roseburgareachamber.org,(541)672-2648, PO Box 1026," Roseburg, OR 97470 ",
Salem Area Chamber of Commerce ,U.S. Chamber Member,www.salemchamber.org,(503)581-1466, 1110 Commercial St NE," Salem, OR 97301 ",
Seaside Chamber of Commerce ,U.S. Chamber Member,www.seasidechamber.com,(503)738-6391, PO Box 7," Seaside, OR 97138 ",
The Dalles Area Chamber of Commerce ,U.S. Chamber Member,www.thedalleschamber.com,(541)296-2231, 404 W 2nd St.," The Dalles, OR 97058 ",
Tillamook Area Chamber of Commerce ,U.S. Chamber Member,www.tillamookchamber.org,(503)842-7525, 208 Main Ave," Tillamook, OR 97141 ",
